full_name,age,birthday_GMT,league,position,Current Club,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
MatÄ›j Vydra,30,1992/05/01,Premier League,Forward,Burnley,Czech Republic,1,1,0,1,0
Mateo KovaÄiÄ‡,28,1994/05/06,Premier League,Midfielder,Chelsea,Croatia,0,2,0,3,0
Mathew Ryan,30,1992/04/08,Premier League,Goalkeeper,Brighton & Hove Albion,Australia,0,0,0,2,0
Mathias Jattah-Njie JÃ¸rgensen,32,1990/04/23,Premier League,Defender,Huddersfield Town,Denmark,3,1,0,6,0
Matt Butcher,25,1997/05/14,Premier League,Midfielder,AFC Bournemouth,England,0,0,0,0,0
Matt Doherty,30,1992/01/16,Premier League,Defender,Wolverhampton Wanderers,Republic of Ireland,4,5,0,5,0
Matt Ritchie,33,1989/09/10,Premier League,Midfielder,Newcastle United,Scotland,2,8,1,9,0
Matt Targett,27,1995/09/18,Premier League,Defender,Southampton,England,1,3,0,2,0
Matteo Darmian,32,1989/12/02,Premier League,Defender,Manchester United,Italy,0,0,0,0,0
MattÃ©o Guendouzi OliÃ©,23,1999/04/14,Premier League,Midfielder,Arsenal,France,0,0,0,9,0
Matthew Connolly,35,1987/09/24,Premier League,Defender,Cardiff City,England,0,0,0,0,0
Matthew Lowton,33,1989/06/09,Premier League,Defender,Burnley,England,0,0,0,7,0
Matty Daly,21,2001/03/10,Premier League,Midfielder,Huddersfield Town,England,0,0,0,0,0
Max Harrison Sanders,23,1999/01/04,Premier League,Midfielder,Brighton & Hove Albion,England,0,0,0,0,0
Max Kilman,25,1997/05/23,Premier League,Defender,Wolverhampton Wanderers,England,0,0,0,0,0
Max Meyer,27,1995/09/18,Premier League,Midfielder,Crystal Palace,Germany,1,2,0,3,0
Maxime Le Marchand,33,1989/10/11,Premier League,Defender,Fulham,France,0,1,0,5,0
Maya Yoshida,34,1988/08/24,Premier League,Defender,Southampton,Japan,0,1,0,0,0
Mesut Ã–zil,34,1988/10/15,Premier League,Midfielder,Arsenal,Germany,5,2,0,2,0
Michael Keane,29,1993/01/11,Premier League,Defender,Everton,England,1,2,0,2,0
Michael Obafemi,22,2000/07/06,Premier League,Forward,Southampton,Republic of Ireland,1,1,0,1,0
Michail Antonio,32,1990/03/28,Premier League,Midfielder,West Ham United,England,6,4,0,3,0
Michel Vorm,39,1983/10/20,Premier League,Goalkeeper,Tottenham Hotspur,Netherlands,0,0,0,0,0
Michy Batshuayi,29,1993/10/02,Premier League,Forward,Crystal Palace,Belgium,5,0,0,0,0
Miguel Ãngel AlmirÃ³n Rejala,28,1994/02/10,Premier League,Midfielder,Newcastle United,Paraguay,0,0,0,0,0
Miguel Ãngel Britos Cabrera,37,1985/07/17,Premier League,Defender,Watford,Uruguay,0,0,0,0,0
Mohamed DiamÃ©,35,1987/06/14,Premier League,Midfielder,Newcastle United,Senegal,0,0,0,3,0
Mohamed Elneny,30,1992/07/11,Premier League,Midfielder,Arsenal,Egypt,0,0,0,0,0
Mohamed Elyounoussi,28,1994/08/04,Premier League,Midfielder,Southampton,Norway,0,0,0,0,0
Mohamed Salah,30,1992/06/15,Premier League,Forward,Liverpool,Egypt,22,8,3,1,0
Morgan Gibbs-White,22,2000/01/27,Premier League,Midfielder,Wolverhampton Wanderers,England,0,1,0,1,0
Morgan Schneiderlin,32,1989/11/08,Premier League,Midfielder,Everton,France,0,1,0,2,0
Moussa Dembele,35,1987/07/16,Premier League,Midfielder,Tottenham Hotspur,Belgium,0,0,0,1,0
Moussa Sissoko,33,1989/08/16,Premier League,Midfielder,Tottenham Hotspur,France,0,3,0,2,0
N'Golo KantÃ©,31,1991/03/29,Premier League,Midfielder,Chelsea,France,4,4,0,3,0
Naby Deco KeÃ¯ta,27,1995/02/10,Premier League,Midfielder,Liverpool,Guinea,2,1,0,0,0
Nacho Monreal,36,1986/02/26,Premier League,Defender,Arsenal,Spain,1,3,0,5,0
Nampalys Mendy,30,1992/06/23,Premier League,Midfielder,Leicester City,France,0,0,0,5,0
Nathan AkÃ©,27,1995/02/18,Premier League,Defender,AFC Bournemouth,Netherlands,4,0,0,3,0
Nathan Holland,24,1998/06/19,Premier League,Midfielder,West Ham United,England,0,0,0,0,0
Nathan Redmond,28,1994/03/06,Premier League,Midfielder,Southampton,England,6,4,0,3,0
Nathaniel Chalobah,27,1994/12/12,Premier League,Midfielder,Watford,England,0,0,0,2,0
Nathaniel Clyne,31,1991/04/05,Premier League,Defender,AFC Bournemouth,England,0,1,0,2,0
Nathaniel Mendez-Laing,30,1992/04/15,Premier League,Midfielder,Cardiff City,England,4,1,1,0,0
Neeskens Kebano,30,1992/03/10,Premier League,Midfielder,Fulham,Congo DR,0,0,0,0,0
Neil Leonard Dula Etheridge,32,1990/02/07,Premier League,Goalkeeper,Cardiff City,Philippines,0,0,0,2,0
Nemanja MatiÄ‡,34,1988/08/01,Premier League,Midfielder,Manchester United,Serbia,1,0,0,8,1
Nicolas Otamendi,34,1988/02/12,Premier League,Defender,Manchester City,Argentina,0,0,0,1,0
Nikola Tavares,23,1999/01/17,Premier League,Defender,Crystal Palace,England,0,0,0,0,0
Nnamdi Ofoborh,22,1999/11/07,Premier League,Midfielder,AFC Bournemouth,England,0,0,0,0,0
Oleksandr Zinchenko,25,1996/12/15,Premier League,Midfielder,Manchester City,Ukraine,0,3,0,1,0
Oliver Skipp,22,2000/09/16,Premier League,Midfielder,Tottenham Hotspur,England,0,0,0,0,0
Olivier Giroud,36,1986/09/30,Premier League,Forward,Chelsea,France,2,4,0,1,0
Onyinye Wilfred Ndidi,25,1996/12/16,Premier League,Midfielder,Leicester City,Nigeria,2,0,0,8,0
Oriol Romeu,31,1991/09/24,Premier League,Midfielder,Southampton,Spain,1,0,0,11,0
Oumar Niasse,32,1990/04/18,Premier League,Forward,Cardiff City,Senegal,0,0,0,0,0
Pablo Zabaleta,37,1985/01/16,Premier League,Defender,West Ham United,Argentina,0,1,0,4,0
Pape N'Diaye SouarÃ©,32,1990/06/06,Premier League,Defender,Crystal Palace,Senegal,0,0,0,0,0
Pascal GroÃŸ,31,1991/06/15,Premier League,Midfielder,Brighton & Hove Albion,Germany,3,3,1,1,0
Patrick van Aanholt,32,1990/08/29,Premier League,Defender,Crystal Palace,Netherlands,3,2,0,3,0
Paul Dummett,31,1991/09/26,Premier League,Defender,Newcastle United,Wales,0,0,0,1,0
Paul Pogba,29,1993/03/15,Premier League,Midfielder,Manchester United,France,13,9,7,6,0
Paulo Dino Gazzaniga,30,1992/01/02,Premier League,Goalkeeper,Tottenham Hotspur,Argentina,0,0,0,0,0
Pedro Obiang,30,1992/03/27,Premier League,Midfielder,West Ham United,Equatorial Guinea,0,1,0,0,0
Pedro Rodriguez,35,1987/07/28,Premier League,Midfielder,Chelsea,Spain,8,2,0,2,0
Peter Crouch,41,1981/01/30,Premier League,Forward,Burnley,England,0,0,0,1,0
Petr ÄŒech,40,1982/05/20,Premier League,Goalkeeper,Arsenal,Czech Republic,0,0,0,0,0
Phil Bardsley,37,1985/06/28,Premier League,Defender,Burnley,Scotland,0,0,0,9,0
Phil Jagielka,40,1982/08/17,Premier League,Defender,Everton,England,1,0,0,1,1
Phil Jones,30,1992/02/21,Premier League,Defender,Manchester United,England,0,1,0,1,0
Philip Billing,26,1996/06/11,Premier League,Midfielder,Huddersfield Town,Denmark,2,0,0,7,0
Philip Foden,22,2000/05/28,Premier League,Midfielder,Manchester City,England,1,0,0,0,0
Philippe Sandler,25,1997/02/10,Premier League,Defender,Manchester City,Netherlands,0,0,0,0,0
Pierre-Emerick Aubameyang,33,1989/06/18,Premier League,Forward,Arsenal,Gabon,22,5,4,0,0
Pierre-Emile HÃ¸jbjerg,27,1995/08/05,Premier League,Midfielder,Southampton,Denmark,4,3,0,10,2
Rachid Ghezzal,30,1992/05/09,Premier League,Forward,Leicester City,Algeria,1,0,0,3,0
Rafael Euclides Soares Camacho,22,2000/05/22,Premier League,Midfielder,Liverpool,Portugal,0,0,0,0,0
Raheem Sterling,27,1994/12/08,Premier League,Forward,Manchester City,England,17,10,0,3,0
Rajiv van La Parra,31,1991/06/04,Premier League,Midfielder,Huddersfield Town,Netherlands,0,0,0,0,0
Ramadan Sobhi,25,1997/01/23,Premier League,Forward,Huddersfield Town,Egypt,0,0,0,0,0
RaÃºl Alonso JimÃ©nez RodrÃ­guez,31,1991/05/05,Premier League,Forward,Wolverhampton Wanderers,Mexico,13,7,2,4,0
Rhys Healey,27,1994/12/06,Premier League,Forward,Cardiff City,England,0,0,0,0,0
Ricardo Domingos Barbosa Pereira,29,1993/10/06,Premier League,Defender,Leicester City,Portugal,2,6,0,7,0
Richarlison de Andrade,25,1997/05/10,Premier League,Forward,Everton,Brazil,13,1,0,6,1
Riyad Mahrez,31,1991/02/21,Premier League,Midfielder,Manchester City,Algeria,7,4,0,0,0
Rob Holding,27,1995/09/20,Premier League,Defender,Arsenal,England,0,0,0,1,0
Robbie Brady,30,1992/01/14,Premier League,Midfielder,Burnley,Republic of Ireland,0,1,0,4,1
Robert Kenedy Nunes do Nascimento,26,1996/02/08,Premier League,Midfielder,Newcastle United,Brazil,1,1,0,1,0
Robert Snodgrass,35,1987/09/07,Premier League,Midfielder,West Ham United,Scotland,2,5,0,10,0
Roberto Firmino,31,1991/10/02,Premier League,Forward,Liverpool,Brazil,12,6,1,0,0
Roberto Maximiliano Pereyra,31,1991/01/07,Premier League,Forward,Watford,Argentina,6,1,0,3,0
Romain SaÃ¯ss,32,1990/03/26,Premier League,Midfielder,Wolverhampton Wanderers,Morocco,2,0,0,7,0
Romelu Lukaku,29,1993/05/13,Premier League,Forward,Manchester United,Belgium,12,0,0,4,0
Rondon,33,1989/09/16,Premier League,Forward,Newcastle United,Venezuela,11,7,0,1,0
Ross Barkley,28,1993/12/05,Premier League,Midfielder,Chelsea,England,3,5,0,1,0
RÃºben Diogo Da Silva Neves,25,1997/03/13,Premier League,Midfielder,Wolverhampton Wanderers,Portugal,4,3,2,8,0
RÃºben GonÃ§alo Silva Nascimento Vinagre,23,1999/04/09,Premier League,Defender,Wolverhampton Wanderers,Portugal,0,0,0,1,0
Ruben Loftus-Cheek,26,1996/01/23,Premier League,Midfielder,Chelsea,England,6,2,0,0,0
Rui Pedro dos Santos PatrÃ­cio,34,1988/02/15,Premier League,Goalkeeper,Wolverhampton Wanderers,Portugal,0,0,0,0,0
Ryan Bennett,32,1990/03/06,Premier League,Defender,Wolverhampton Wanderers,England,1,0,0,12,0
Ryan Bertrand,33,1989/08/05,Premier League,Defender,Southampton,England,1,0,0,8,0
Ryan Fraser,28,1994/02/24,Premier League,Midfielder,AFC Bournemouth,Scotland,7,14,0,2,0
Ryan Fredericks,30,1992/10/10,Premier League,Midfielder,West Ham United,England,1,0,0,5,0
Ryan Giles,22,2000/01/26,Premier League,Midfielder,Wolverhampton Wanderers,England,0,0,0,0,0
Ryan Guno Babel,35,1986/12/19,Premier League,Forward,Fulham,Netherlands,5,3,0,3,0
Ryan Schofield,22,1999/12/11,Premier League,Goalkeeper,Huddersfield Town,England,0,0,0,0,0
Ryan Sessegnon,22,2000/05/18,Premier League,Defender,Fulham,England,2,6,0,0,0
Sadio ManÃ©,30,1992/04/10,Premier League,Forward,Liverpool,Senegal,22,1,0,2,0
Sam Gallagher,27,1995/09/15,Premier League,Forward,Southampton,England,0,0,0,0,0
Sam Surridge,24,1998/07/28,Premier League,Forward,AFC Bournemouth,England,0,0,0,0,0
Sam Vokes,33,1989/10/21,Premier League,Forward,Burnley,Wales,3,0,0,0,0
Sam Woods,24,1998/09/11,Premier League,Defender,Crystal Palace,England,0,0,0,0,0
Samir Nasri,35,1987/06/26,Premier League,Midfielder,West Ham United,France,0,2,0,0,0
Sandro Ramirez,27,1995/07/09,Premier League,Forward,Everton,Spain,0,0,0,0,0
Scott Dann,35,1987/02/14,Premier League,Defender,Crystal Palace,England,0,1,0,1,0
Scott McTominay,25,1996/12/08,Premier League,Midfielder,Manchester United,England,2,0,0,1,0
Sead KolaÅ¡inac,29,1993/06/20,Premier League,Defender,Arsenal,Bosnia and Herzegovina,0,5,0,5,0
SÃ©amus Coleman,34,1988/10/11,Premier League,Defender,Everton,Republic of Ireland,2,2,0,1,0
Sean Longstaff,25,1997/10/30,Premier League,Midfielder,Newcastle United,England,1,0,0,2,0
Sean Morrison,31,1991/01/08,Premier League,Defender,Cardiff City,England,1,3,0,6,0
Sebastian PrÃ¶dl,35,1987/06/21,Premier League,Defender,Watford,Austria,0,0,0,0,0
Serge Aurier,29,1992/12/24,Premier League,Defender,Tottenham Hotspur,Ivory Coast,0,2,0,1,0
Sergio Aguero,34,1988/06/02,Premier League,Forward,Manchester City,Argentina,21,8,2,3,0
Sergio GermÃ¡n Romero,35,1987/02/22,Premier League,Goalkeeper,Manchester United,Argentina,0,0,0,0,0
Sergio Rico,29,1993/09/01,Premier League,Goalkeeper,Fulham,Spain,0,0,0,1,0
Shane Duffy,30,1992/01/01,Premier League,Defender,Brighton & Hove Albion,Republic of Ireland,5,1,0,5,1
Shane Long,35,1987/01/22,Premier League,Forward,Southampton,Republic of Ireland,5,1,0,3,0
Shinji Okazaki,36,1986/04/16,Premier League,Forward,Leicester City,Japan,0,1,0,0,0
Shkodran Mustafi,30,1992/04/17,Premier League,Defender,Arsenal,Germany,2,0,0,9,0
Simon Francis,37,1985/02/16,Premier League,Defender,AFC Bournemouth,England,0,2,0,1,0
Simon Mignolet,34,1988/03/06,Premier League,Goalkeeper,Liverpool,Belgium,0,0,0,0,0
Sokratis Papastathopoulos,34,1988/06/09,Premier League,Defender,Arsenal,Greece,1,2,0,12,0
Solomon March,28,1994/07/20,Premier League,Midfielder,Brighton & Hove Albion,England,1,5,0,1,0
Souleymane Bamba,37,1985/01/13,Premier League,Defender,Cardiff City,Ivory Coast,4,1,0,7,0
Stefan Marius Johansen,31,1991/01/08,Premier League,Midfielder,Fulham,Norway,0,0,0,4,0
Stefano Okaka,33,1989/08/09,Premier League,Forward,Watford,Italy,0,0,0,1,0
Stephan Lichtsteiner,38,1984/01/16,Premier League,Defender,Arsenal,Switzerland,0,0,0,3,0
Stephen Ward,37,1985/08/20,Premier League,Defender,Burnley,Republic of Ireland,0,0,0,1,0
Steve Cook,31,1991/04/19,Premier League,Defender,AFC Bournemouth,England,1,1,0,3,0
Steve MouniÃ©,28,1994/09/29,Premier League,Forward,Huddersfield Town,Benin,2,3,0,2,1
Steven Davis,37,1985/01/01,Premier League,Midfielder,Southampton,Northern Ireland,0,1,0,0,0
Steven Defour,34,1988/04/15,Premier League,Midfielder,Burnley,Belgium,0,0,0,0,0
Stuart Armstrong,30,1992/03/30,Premier League,Midfielder,Southampton,Scotland,3,2,0,2,0
Sullay Kaikai,27,1995/08/26,Premier League,Midfielder,Crystal Palace,England,0,0,0,0,0
Sung-Yeung Ki,33,1989/01/24,Premier League,Midfielder,Newcastle United,South Korea,0,1,0,2,0
Tahith Chong,22,1999/12/04,Premier League,Forward,Manchester United,Netherlands,0,0,0,0,0
Terence Kongolo,28,1994/02/14,Premier League,Defender,Huddersfield Town,Netherlands,1,1,0,4,0
Theo Walcott,33,1989/03/16,Premier League,Forward,Everton,England,5,2,0,1,0
Tim Ream,35,1987/10/05,Premier League,Defender,Fulham,USA,0,0,0,1,0
Timothy Eyoma,22,2000/01/29,Premier League,Defender,Tottenham Hotspur,England,0,0,0,0,0
Timothy Fosu-Mensah,24,1998/01/02,Premier League,Defender,Fulham,Netherlands,0,0,0,3,0
Toby Alderweireld,33,1989/03/02,Premier League,Defender,Tottenham Hotspur,Belgium,0,0,0,3,0
Tom Cairney,31,1991/01/20,Premier League,Midfielder,Fulham,Scotland,1,1,0,0,0
Tom Cleverley,33,1989/08/12,Premier League,Midfielder,Watford,England,1,0,0,2,0
Tom Davies,24,1998/06/30,Premier League,Midfielder,Everton,England,0,0,0,3,0
Tom Heaton,36,1986/04/15,Premier League,Goalkeeper,Burnley,England,0,0,0,3,0
Tom Smith,30,1992/04/14,Premier League,Defender,Huddersfield Town,England,0,0,0,3,1
Trent Alexander-Arnold,24,1998/10/07,Premier League,Defender,Liverpool,England,1,12,0,3,0
Troy Deeney,34,1988/06/29,Premier League,Forward,Watford,England,9,5,1,5,1
Tyias Browning,28,1994/05/27,Premier League,Defender,Everton,England,0,0,0,0,0
Tyreke Johnson,24,1998/11/03,Premier League,Defender,Southampton,England,0,0,0,0,0
Tyrone Mings,29,1993/03/13,Premier League,Defender,AFC Bournemouth,England,0,0,0,0,0
Vicente Guaita,35,1987/01/10,Premier League,Goalkeeper,Crystal Palace,Spain,0,0,0,2,0
Vicente Iborra De La Fuente,34,1988/01/16,Premier League,Midfielder,Leicester City,Spain,0,0,0,0,0
VÃ­ctor Camarasa,28,1994/05/28,Premier League,Midfielder,Cardiff City,Spain,5,4,1,6,0
Victor Moses,31,1990/12/12,Premier League,Midfielder,Chelsea,Nigeria,0,0,0,0,0
Victor Nilsson LindelÃ¶f,28,1994/07/17,Premier League,Defender,Manchester United,Sweden,1,1,0,1,0
Victor Wanyama,31,1991/06/25,Premier League,Midfielder,Tottenham Hotspur,Kenya,1,0,0,2,0
Viktor GyÃ¶keres,24,1998/06/04,Premier League,Forward,Brighton & Hove Albion,Sweden,0,0,0,0,0
Vincent Janssen,28,1994/06/15,Premier League,Forward,Tottenham Hotspur,Netherlands,0,0,0,0,0
Vincent Kompany,36,1986/04/10,Premier League,Defender,Manchester City,Belgium,1,0,0,6,0
Virgil van Dijk,31,1991/07/08,Premier League,Defender,Liverpool,Netherlands,4,2,0,1,0
Wayne Hennessey,35,1987/01/24,Premier League,Goalkeeper,Crystal Palace,Wales,0,0,0,0,0
Wes Morgan,38,1984/01/21,Premier League,Defender,Leicester City,Jamaica,3,0,0,5,2
Wesley Hoedt,28,1994/03/06,Premier League,Defender,Southampton,Netherlands,0,0,0,2,0
Wilfredo Daniel Caballero,41,1981/09/28,Premier League,Goalkeeper,Chelsea,Argentina,0,0,0,0,0
Wilfried Zaha,29,1992/11/10,Premier League,Midfielder,Crystal Palace,Ivory Coast,10,5,0,10,1
Will Hughes,27,1995/04/17,Premier League,Midfielder,Watford,England,2,4,0,5,0
Will Norris,29,1993/08/12,Premier League,Goalkeeper,Wolverhampton Wanderers,England,0,0,0,0,0
Willian,34,1988/08/09,Premier League,Forward,Chelsea,Brazil,3,6,0,2,0
Willy Boly,31,1991/02/03,Premier League,Defender,Wolverhampton Wanderers,France,4,0,0,3,1
Xherdan Shaqiri,31,1991/10/10,Premier League,Midfielder,Liverpool,Switzerland,6,3,0,2,0
Yann Valery,23,1999/02/22,Premier League,Defender,Southampton,France,2,1,0,5,1
Yerry Fernando Mina GonzÃ¡lez,28,1994/09/23,Premier League,Defender,Everton,Colombia,1,0,0,3,0
Yoshinori Muto,30,1992/07/15,Premier League,Forward,Newcastle United,Japan,1,0,0,1,0
Youri Tielemans,25,1997/05/07,Premier League,Midfielder,Leicester City,Belgium,3,4,0,2,0
Yves Bissouma,26,1996/08/30,Premier League,Midfielder,Brighton & Hove Albion,Mali,0,0,0,5,0
Zechariah Medley,22,2000/07/07,Premier League,Defender,Arsenal,England,0,0,0,0,0
Zeze Steven Sessegnon,22,2000/05/18,Premier League,Defender,Fulham,England,0,0,0,0,0
Åukasz FabiaÅ„ski,37,1985/04/18,Premier League,Goalkeeper,West Ham United,Poland,0,0,0,0,0